      Step     Time          Energy          fmax
BFGS:    0 19:43:34    -1319.364192        0.354442
BFGS:    1 19:43:44    -1319.368051        0.127319
BFGS:    2 19:43:54    -1319.368400        0.101022
BFGS:    3 19:44:04    -1319.368926        0.044294
BFGS:    4 19:44:15    -1319.369070        0.036086
BFGS:    5 19:44:25    -1319.369212        0.019243
BFGS:    6 19:44:35    -1319.369241        0.016198
BFGS:    7 19:44:45    -1319.369257        0.017596
BFGS:    8 19:44:55    -1319.369274        0.014583
BFGS:    9 19:45:05    -1319.369290        0.006989
