      Step     Time          Energy          fmax
BFGS:    0 18:32:03    -7481.345473        0.038844
BFGS:    1 18:32:26    -7481.345543        0.037969
BFGS:    2 18:32:51    -7481.345746        0.039784
BFGS:    3 18:33:15    -7481.346004        0.056518
BFGS:    4 18:33:39    -7481.346250        0.046655
BFGS:    5 18:34:05    -7481.346380        0.021076
BFGS:    6 18:34:32    -7481.346416        0.015032
BFGS:    7 18:34:58    -7481.346431        0.008986
