      Step     Time          Energy          fmax
BFGS:    0 19:54:22    -7481.348481        0.049993
BFGS:    1 19:54:47    -7481.349597        0.148615
BFGS:    2 19:55:10    -7481.353257        0.294750
BFGS:    3 19:55:33    -7481.367674        0.573879
BFGS:    4 19:55:58    -7481.423371        1.040284
BFGS:    5 19:56:24    -7481.610271        1.223639
BFGS:    6 19:56:47    -7480.250961        3.929460
BFGS:    7 19:57:10    -7481.773807        0.049844
BFGS:    8 19:57:32    -7481.774037        0.007796
